0_S1_LS	0_S10_H	0_S11_NL	0_S12_H	0_S13_H	0_S14_NL	0_S15_NL	0_S16_NL	0_S17_H	0_S2_LS	0_S3_NL	0_S4_H	0_S5_LS	0_S6_H	0_S7_LS	0_S8_H	0_S9_H	1_S1_LS	1_S11_NL	1_S12_H	1_S15_NL	1_S17_H	1_S3_NL	1_S5_LS	1_S6_H	1_S9_H	2_S1_LS	2_S11_NL	2_S12_H	2_S15_NL	2_S16_NL	2_S17_H	2_S3_NL	2_S4_H	2_S5_LS	2_S7_LS	2_S8_H	2_S9_H	3_S8_H	3_S9_H	4_S1_LS	4_S10_H	4_S11_NL	4_S12_H	4_S13_H	4_S14_NL	4_S15_NL	4_S16_NL	4_S17_H	4_S2_LS	4_S3_NL	4_S4_H	4_S5_LS	4_S6_H	4_S7_LS	4_S9_H	5_S11_NL	5_S5_LS	5_S6_H	5_S9_H	6_S1_LS	6_S10_H	6_S11_NL	6_S12_H	6_S13_H	6_S14_NL	6_S15_NL	6_S16_NL	6_S17_H	6_S2_LS	6_S3_NL	6_S4_H	6_S5_LS	6_S6_H	6_S7_LS	6_S8_H	6_S9_H	7_S1_LS	7_S11_NL	7_S12_H	7_S15_NL	7_S4_H	7_S6_H	7_S9_H	8_S1_LS	8_S17_H	8_S2_LS	8_S5_LS	8_S9_H	9_S1_LS	9_S10_H	9_S12_H	9_S2_LS	9_S3_NL	9_S4_H	9_S5_LS	9_S6_H	9_S9_H	1_S2_LS	1_S4_H	5_S10_H	5_S12_H	5_S2_LS	5_S3_NL	5_S8_H	7_S10_H	7_S13_H	7_S16_NL	7_S17_H	7_S2_LS	7_S3_NL	7_S5_LS	7_S7_LS	7_S8_H	8_S4_H	9_S11_NL	1_S10_H	1_S13_H	1_S14_NL	1_S16_NL	1_S7_LS	1_S8_H	2_S10_H	3_S7_LS	5_S1_LS	5_S14_NL	5_S16_NL	5_S17_H	5_S4_H	5_S7_LS	8_S11_NL	8_S12_H	10_S1_LS	10_S11_NL	10_S14_NL	10_S17_H	10_S2_LS	10_S3_NL	10_S4_H	10_S5_LS	10_S7_LS	10_S9_H	2_S13_H	2_S14_NL	2_S2_LS	2_S6_H	3_S1_LS	3_S10_H	3_S11_NL	3_S12_H	3_S14_NL	3_S15_NL	3_S16_NL	3_S17_H	3_S2_LS	3_S3_NL	3_S4_H	3_S5_LS	3_S6_H	4_S8_H	5_S15_NL	8_S10_H	8_S8_H	9_S13_H	9_S14_NL	9_S17_H	9_S7_LS	9_S8_H	7_S14_NL	8_S3_NL	8_S13_H	8_S14_NL	8_S15_NL	8_S16_NL	8_S7_LS	5_S13_H	8_S6_H	Sum
B_Cells	138	129	531	356	14	45	44	1	125	103	161	264	96	409	199	13	721	7	3	1	1	3	3	3	13	6	24	2	18	1	1	3	1	8	3	5	2	87	3	1	131	6	2	17	4	11	1	5	46	36	15	27	25	3	42	156	3	1	2	4	81	11	2	5	4	7	6	2	10	62	18	34	46	12	27	4	67	5	2	2	1	4	2	3	6	1	1	1	3	2	8	17	1	1	21	2	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4589
Dendritic_Cells	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	198	13	0	7	1	19	8	9	20	110	21	73	79	4	46	3	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	704
Endothelial	219	228	1013	586	104	227	70	10	225	306	451	635	454	791	203	24	777	0	0	0	0	0	4	3	2	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	3	2	0	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	0	0	13	3	3	3	34	25	22	0	0	0	0	0	0	2	0	0	0	0	1	0	2	3	1	1	4	1	3	1	1	1	1	4	5	2	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6502
Fibroblasts	0	0	1	2	0	0	0	0	0	1	0	1	2	0	0	0	4	1124	489	184	177	265	746	756	754	653	1	0	1	0	0	1	1	26	0	0	8	9	0	0	15	0	0	0	0	0	0	0	1	0	0	7	0	0	1	6	11	8	16	28	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	3	0	0	0	3	0	1	0	4	0	2	2	0	1	0	0	0	5	0	0	2	434	2128	2	3	9	4	0	0	0	0	0	0	0	0	0	0	3	0	110	61	274	7	133	107	2	1	9	4	1	7	9	4	1	1	23	1	1	1	4	2	6	5	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8700
Keratinocytes	3	3	32	29	0	1	1	0	2	3	9	5	0	2	5	2	23	4	1	1	1	1	4	4	15	5	70	25	382	10	2	62	28	279	63	81	495	1175	3504	71	64	9	1	10	4	7	5	1	23	16	32	15	17	5	7	140	4	1	0	1	0	0	0	0	1	0	0	0	1	9	1	0	0	0	1	2	2	2	0	1	0	4	6	7	0	2	0	0	0	0	56	24	1	0	10	10	5	26	1	5	1	1	0	0	2	0	0	0	0	0	0	0	1	1	1	6	0	1	0	0	0	0	92	204	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	19	8	4	114	15	68	22	16	20	5	13	34	40	11	64	2	2	1	3	1	1	1	5	2	10	0	0	0	0	0	0	0	0	0	7741
Langerhans_Cells	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	2	0	3	3	12	0	6	5	63	9	9	18	0	54	63	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337
Lymphatic_Endothelial	1	0	3	1	1	0	0	0	1	1	0	1	0	1	2	0	1	3	0	0	0	0	0	1	2	2	1	0	1	0	0	0	0	4	0	0	0	4	1	0	4	0	0	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	114	6	16	42	162	80	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	7	27	51	12	42	43	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	801
Macrophages	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	10	26	15	7	8	13	24	9	46	49	29	2	81	1	0	14	0	228	0	4	5	430	6	3	5	0	0	0	0	0	0	0	0	0	1	6	1	0	0	36	6	0	0	1	162	2	4	1	0	19	3	1	7	97	30	7	71	27	15	0	12	0	0	1	0	1	1	4	5	1	0	0	4	0	1	1	0	0	4	1	0	4	7	19	1	2	1	3	0	0	0	0	1	0	0	0	0	0	0	0	3	0	3	0	4	0	9	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1624
Mast_Cells	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15
Melanocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	58	26	26	62	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	35	38	0	0	0	0	0	0	12	0	9	15	2	25	0	0	433
