|celltype              |    AD| Healthy|
|:---------------------|-----:|-------:|
|B_Cells               |  1552|     801|
|Dendritic_Cells       |  6354|    1206|
|Endothelial           |   414|     613|
|Fibroblasts           |   866|    2780|
|Keratinocytes         | 21815|    9066|
|Langerhans_Cells      |  1831|     377|
|Lymphatic_Endothelial |    20|     147|
|Macrophages           |  1809|     618|
|Mast_Cells            |  1177|     315|
|Melanocytes           |  2725|     915|
|Monocytes             |  2703|     124|
|NK_Cells              |  1140|     310|
|Pericytes             |   105|      61|
|Plasma_Cells          |   359|     264|
|Schwann_Cells         |    31|      15|
|Smooth_Muscle         |   619|     648|
|T_Cells               | 12082|    3124|
