0_AD2_AD	0_AD3_AD	0_AD4_AD	0_AD6_AD	0_AD7_AD	0_AD8_AD	0_HC2_Healthy	0_HC3_Healthy	0_HC4_Healthy	0_HC6_Healthy	0_HC7_Healthy	1_AD1_AD	1_AD2_AD	1_AD3_AD	1_AD4_AD	1_AD5_AD	1_AD6_AD	1_AD7_AD	1_AD8_AD	1_HC1_Healthy	1_HC2_Healthy	1_HC3_Healthy	1_HC4_Healthy	1_HC5_Healthy	1_HC6_Healthy	1_HC7_Healthy	2_AD1_AD	2_AD2_AD	2_AD3_AD	2_AD4_AD	2_AD5_AD	2_AD6_AD	2_AD7_AD	2_AD8_AD	2_HC1_Healthy	2_HC2_Healthy	2_HC3_Healthy	2_HC4_Healthy	2_HC5_Healthy	2_HC6_Healthy	2_HC7_Healthy	3_AD2_AD	3_AD3_AD	3_AD5_AD	3_AD6_AD	3_AD7_AD	3_AD8_AD	3_HC2_Healthy	3_HC3_Healthy	3_HC4_Healthy	3_HC5_Healthy	3_HC6_Healthy	3_HC7_Healthy	4_HC6_Healthy	4_HC7_Healthy	6_AD4_AD	6_HC3_Healthy	6_HC5_Healthy	7_AD5_AD	7_AD6_AD	7_AD7_AD	7_AD8_AD	7_HC6_Healthy	7_HC7_Healthy	8_AD2_AD	8_AD3_AD	8_AD4_AD	8_AD5_AD	8_AD7_AD	8_AD8_AD	8_HC7_Healthy	4_AD5_AD	4_AD6_AD	4_AD7_AD	4_AD8_AD	5_AD4_AD	6_AD3_AD	8_AD6_AD	8_HC6_Healthy	9_AD7_AD	5_AD6_AD	5_AD7_AD	5_AD8_AD	5_HC7_Healthy	9_AD5_AD	9_AD6_AD	9_AD8_AD	9_HC6_Healthy	9_HC7_Healthy	0_AD1_AD	0_AD5_AD	0_HC5_Healthy	3_AD1_AD	3_AD4_AD	5_AD1_AD	5_AD2_AD	5_AD3_AD	5_AD5_AD	5_HC2_Healthy	5_HC3_Healthy	5_HC4_Healthy	5_HC5_Healthy	5_HC6_Healthy	6_AD1_AD	6_HC4_Healthy	6_HC6_Healthy	6_HC2_Healthy	6_AD2_AD	6_HC7_Healthy	6_AD5_AD	6_AD6_AD	6_AD7_AD	6_AD8_AD	6_HC1_Healthy	8_HC3_Healthy	8_HC5_Healthy	Sum
B_Cells	3	3	1	1	2	3	3	2	2	1	4	3	94	15	258	141	113	101	154	2	3	3	4	7	93	168	1	20	12	26	26	67	26	31	2	9	21	8	5	114	135	1	1	2	4	8	3	2	4	6	2	6	9	1	1	1	1	1	1	15	43	56	123	57	4	3	2	4	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2055
Dendritic_Cells	0	0	0	0	1	0	2	0	0	0	2	2	895	188	877	954	766	435	713	5	6	29	19	26	453	612	0	0	0	2	1	6	1	1	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	1	0	2	2	5	14	3	0	0	0	0	1	5	9	1	0	0	0	17	11	11	9	2	2	2	3	1	1	9	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6118
Endothelial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	7	76	92	236	409	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1027
Fibroblasts	0	0	0	3	1	1	0	0	0	2	9	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	1	3	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	7	368	2352	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	81	131	240	374	0	0	0	0	3	1	2	1	4	1	7	11	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646
Keratinocytes	1266	685	141	1006	2022	1259	120	669	361	522	1255	1	16	2	3	114	79	95	135	0	0	1	1	0	11	26	4	8	6	20	324	280	78	284	1	1	16	8	4	178	129	42	178	15	17	13	116	182	882	933	52	627	2204	2	12	0	1	0	0	6	35	71	21	15	0	0	0	17	10	11	1	0	1	5	16	40	1	8	1	11	88	87	130	155	0	9	18	2	3	953	1527	56	2884	14	558	270	84	149	44	241	211	19	97	3	1	1	0	0	0	0	0	0	0	0	0	0	24281
Langerhans_Cells	0	0	0	1	1	0	1	0	0	0	0	11	83	93	312	99	185	171	132	2	83	18	148	52	34	28	0	1	0	0	1	2	1	0	0	2	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1476
Lymphatic_Endothelial	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	5	5	66	73	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167
Macrophages	0	0	0	0	0	1	0	0	0	2	2	2	149	28	62	447	281	421	315	1	0	0	0	1	202	344	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	4	1	2	10	19	6	7	1	0	1	0	0	0	2	6	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	2333
Mast_Cells	0	0	0	1	14	1	0	0	0	0	3	0	0	0	3	4	5	37	5	0	0	0	0	0	7	7	0	0	0	0	3	1	7	1	0	0	0	0	1	1	1	0	0	0	2	3	0	0	0	0	0	6	7	1	6	0	0	0	0	2	5	2	1	1	0	0	0	178	572	144	129	0	0	3	0	0	0	154	141	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1462
Melanocytes	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	197	429	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	124	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	380	305	18	38	213	16	5	12	3	2	1	0	0	1856
Monocytes	200	3	15	157	420	70	0	1	0	3	5	0	173	28	278	128	151	214	171	8	20	0	1	10	26	14	0	0	0	2	36	86	94	30	0	1	0	0	0	5	1	17	2	4	10	15	1	6	5	2	1	4	9	1	0	0	0	0	0	7	33	7	0	0	0	0	0	3	15	0	0	0	0	7	3	2	0	2	0	6	10	12	13	0	0	1	3	0	0	2	30	0	7	1	0	23	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2619
NK_Cells	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	8	79	76	106	54	50	81	27	5	23	8	32	35	95	104	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	12	3	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	834
Pericytes	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	27	32	31	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140
Plasma_Cells	1	0	1	0	2	2	0	3	0	4	3	0	7	2	21	28	2	16	14	0	2	0	0	1	23	4	0	1	1	10	15	9	5	21	0	3	1	1	5	52	52	1	2	5	22	7	6	1	2	4	1	28	67	0	2	0	0	0	0	0	0	0	2	0	0	0	0	3	7	4	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485
Schwann_Cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	1	4	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	23
Smooth_Muscle	3	0	1	0	4	3	1	1	0	2	3	0	0	0	0	0	1	4	2	0	0	0	0	0	3	1	0	0	0	2	4	5	1	5	0	0	0	0	1	8	7	1	0	1	0	2	0	0	0	0	0	8	12	4	15	0	0	0	1	0	1	1	1	4	0	0	0	0	0	0	0	0	3	2	4	0	0	0	0	206	0	0	2	1	5	111	228	148	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251
T_Cells	0	0	1	5	4	2	0	0	0	4	3	0	0	1	3	5	7	5	8	0	0	1	0	0	7	1	22	206	256	776	1129	1047	473	613	60	117	308	48	282	1366	900	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	1	1	3	6	1	8	12	21	41	12	12	6	1	0	0	0	0	0	28	6	0	0	0	0	0	0	0	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	7834
