0_AD10_AD	0_AD12_AD	0_AD13_AD	0_AD14_AD	0_AD16_AD	0_AD17_AD	0_AD18_AD	0_AD19_AD	2_AD10_AD	2_AD12_AD	2_AD13_AD	2_AD14_AD	2_AD15_AD	2_AD16_AD	2_AD17_AD	2_AD18_AD	2_AD19_AD	3_AD11_AD	3_AD12_AD	3_AD14_AD	3_AD16_AD	3_AD17_AD	3_AD19_AD	4_AD10_AD	4_AD13_AD	5_AD10_AD	5_AD11_AD	5_AD12_AD	5_AD13_AD	5_AD14_AD	5_AD15_AD	5_AD16_AD	5_AD17_AD	5_AD18_AD	5_AD19_AD	6_AD11_AD	6_AD12_AD	6_AD13_AD	6_AD16_AD	6_AD19_AD	7_AD12_AD	7_AD13_AD	7_AD14_AD	7_AD17_AD	8_AD10_AD	8_AD11_AD	8_AD13_AD	8_AD14_AD	8_AD15_AD	8_AD16_AD	8_AD17_AD	8_AD18_AD	1_AD17_AD	2_AD11_AD	3_AD13_AD	4_AD12_AD	8_AD19_AD	1_AD10_AD	1_AD11_AD	1_AD12_AD	1_AD13_AD	1_AD14_AD	1_AD15_AD	1_AD16_AD	1_AD18_AD	1_AD19_AD	3_AD10_AD	3_AD15_AD	3_AD18_AD	4_AD11_AD	4_AD14_AD	4_AD15_AD	4_AD16_AD	4_AD18_AD	8_AD12_AD	4_AD17_AD	4_AD19_AD	0_AD11_AD	0_AD15_AD	6_AD10_AD	6_AD14_AD	6_AD15_AD	6_AD17_AD	6_AD18_AD	7_AD10_AD	7_AD19_AD	7_AD15_AD	7_AD16_AD	7_AD18_AD	Sum
B_Cells	4	3	23	12	3	14	2	1	9	3	38	8	4	13	12	5	1	1	3	1	1	1	1	1	1	3	1	1	8	13	1	2	21	3	5	1	1	2	6	1	1	1	2	1	2	1	35	7	1	5	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298
Dendritic_Cells	0	0	0	0	0	0	0	0	87	77	831	162	13	52	78	69	30	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	3	14	0	0	3	2	0	1	8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1442
Keratinocytes	1	0	9	2	1	4	1	0	0	0	8	0	0	3	0	1	0	209	74	241	247	322	24	3	4	3	6	4	45	72	1	23	70	12	12	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	706	0	401	4	0	58	694	126	396	362	153	879	741	65	29	84	489	1	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6600
Langerhans_Cells	0	0	1	0	0	0	0	1	65	38	252	28	17	41	59	64	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	14	12	1	3	11	2	0	88	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	732
Macrophages	0	0	0	0	0	0	0	0	3	4	57	4	0	1	3	2	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94
Mast_Cells	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
Melanocytes	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	74	191	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	600	0	0	0	0	0	0	0	0	0	0	0	0	0	212	139	123	84	247	1	78	24	0	0	0	0	0	0	0	0	0	0	0	0	1784
Monocytes	0	0	0	0	0	0	1	0	15	3	2	14	1	3	20	3	2	0	1	4	0	11	1	0	0	1	0	0	2	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	1	26	0	0	1	5	13	31	7	0	22	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208
NK_Cells	19	8	135	31	8	43	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	8	12	1	3	14	0	1	18	10	47	39	35	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	127	1	1	8	1	2	0	0	0	0	616
Pericytes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	7	2	3	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
