0_AD20_AD	0_AD24_AD	0_AD25_AD	1_AD20_AD	1_AD21_AD	2_AD20_AD	2_AD21_AD	2_AD24_AD	2_AD25_AD	4_AD20_AD	4_AD21_AD	4_AD24_AD	4_AD25_AD	5_AD21_AD	5_AD25_AD	5_AD20_AD	0_AD21_AD	3_AD25_AD	3_AD20_AD	3_AD24_AD	3_AD21_AD	1_AD24_AD	1_AD25_AD	5_AD24_AD	Sum
B_Cells	1	6	6	2	1	5	7	3	19	14	7	1	2	5	2	0	0	0	0	0	0	0	0	0	81
Dendritic_Cells	1	0	1	0	0	31	31	13	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
Endothelial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Keratinocytes	298	435	223	0	0	0	0	0	1	29	10	1	7	0	0	0	168	1	0	0	0	0	0	0	1173
Langerhans_Cells	0	0	2	0	0	98	24	29	37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	191
Macrophages	2	1	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	13
Mast_Cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
Melanocytes	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	20	109	57	26	0	0	0	216
Monocytes	2	0	2	0	0	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10
NK_Cells	1	0	0	8	7	0	0	0	0	1	2	0	3	35	2	30	0	0	0	0	0	3	6	1	99
Pericytes	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3
Plasma_Cells	8	7	3	0	0	0	0	0	0	2	4	1	1	1	0	0	4	0	0	0	0	0	0	0	31
Schwann_Cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Smooth_Muscle	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
T_Cells	1	0	1	209	214	2	0	0	0	28	19	1	17	23	2	10	1	0	0	0	0	37	145	0	710
Sum	314	449	241	219	222	137	65	47	92	77	42	5	31	64	6	41	175	21	112	59	26	40	151	1	2637
