0_AD24_AD	0_AD25_AD	0_AD3_AD	0_AD4_AD	0_NHS3_Healthy	1_AD2_AD	1_AD20_AD	1_AD21_AD	1_AD24_AD	1_AD25_AD	1_AD3_AD	1_AD4_AD	1_AD5_AD	1_NHS1_Healthy	1_NHS2_Healthy	1_NHS3_Healthy	2_AD2_AD	2_AD21_AD	2_AD3_AD	2_AD4_AD	2_AD5_AD	2_NHS1_Healthy	2_NHS2_Healthy	2_NHS3_Healthy	3_AD20_AD	5_AD2_AD	5_AD20_AD	5_AD21_AD	5_AD24_AD	5_AD25_AD	5_AD3_AD	5_AD4_AD	5_AD5_AD	5_NHS1_Healthy	5_NHS2_Healthy	5_NHS3_Healthy	6_AD2_AD	6_AD3_AD	6_AD4_AD	6_AD5_AD	6_NHS1_Healthy	0_AD20_AD	0_AD2_AD	0_AD5_AD	3_AD5_AD	4_AD2_AD	4_AD3_AD	4_AD4_AD	4_AD5_AD	4_NHS1_Healthy	0_AD21_AD	3_AD2_AD	3_AD21_AD	3_AD24_AD	3_AD25_AD	3_AD4_AD	3_NHS3_Healthy	7_AD25_AD	7_AD20_AD	7_AD24_AD	7_AD2_AD	7_AD21_AD	7_AD3_AD	7_AD4_AD	7_AD5_AD	7_NHS2_Healthy	7_NHS3_Healthy	3_AD3_AD	2_AD25_AD	Sum
B_Cells	6	6	1	1	2	5	15	11	1	4	17	2	10	461	164	335	2	1	2	1	2	22	101	6	1	21	6	8	3	19	10	19	17	194	55	26	12	13	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1591
Dendritic_Cells	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	31	31	13	28	0	0	0	6	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
Endothelial	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	56	45	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219
Fibroblasts	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	2	1	202	199	290	89	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	796
Keratinocytes	211	116	2787	2367	74	23	30	10	3	6	121	166	10	225	54	231	2	0	7	15	1	7	6	5	237	8	0	0	0	1	2	13	0	0	0	0	16	13	26	1	0	60	2754	1154	5	7	6	16	2	0	51	2	117	222	108	38	1866	1	0	0	0	0	0	0	0	0	0	0	0	13203
Langerhans_Cells	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	98	24	29	37	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205
Lymphatic_Endothelial	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
Macrophages	1	0	0	1	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	6	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	23
Mast_Cells	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	16
Melanocytes	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	109	57	31	26	16	18	6	1	3	0	0	294
Monocytes	0	1	294	93	2	1	0	0	0	0	65	13	9	26	1	6	0	0	2	0	2	0	0	0	1	3	1	3	0	1	6	1	1	2	0	0	4	7	0	0	0	1	414	484	6	2	3	1	0	0	0	0	1	0	1	0	19	0	0	0	0	0	1	0	1	0	0	1	0	1480
NK_Cells	0	0	1	0	0	10	39	41	4	11	66	44	23	315	116	73	78	3	100	113	308	490	1675	536	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	3	1	0	0	0	2	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	1	0	0	4074
Pericytes	0	0	0	0	0	0	1	0	1	1	0	0	0	6	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	10	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61
Plasma_Cells	4	2	1	9	4	1	2	5	1	1	12	42	8	839	220	263	0	0	0	0	1	18	58	4	3	0	0	0	0	0	0	0	1	14	3	0	0	0	0	0	0	5	1	2	0	0	0	0	0	0	1	0	3	3	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1548
Schwann_Cells	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6
Smooth_Muscle	0	0	1	0	1	0	1	0	0	0	0	0	0	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	69	43	82	12	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	223
T_Cells	0	1	0	1	0	15	247	253	38	163	205	275	52	980	366	1135	0	4	4	2	1	14	31	6	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3799
Sum	222	132	3091	2473	85	55	337	320	48	186	486	542	112	2874	927	2058	82	8	115	131	316	553	1871	557	244	32	138	66	47	92	19	33	19	229	60	30	128	94	84	29	3	69	3175	1647	12	297	261	400	111	4	53	2	121	225	110	38	1919	21	112	59	31	26	17	18	8	1	4	1	1	27671
